filename,Prompt,Class,Colorfulness,Colors,Contrast,File Size
nose_63.png,nose,28,30.89,20051,52.061314736228965,14071
red_3.png,red,35,68.66,25534,38.29957656870503,13396
tree_95.png,tree,41,23.57,34112,72.23533085712556,25881
yellow_58.png,yellow,46,74.99,24665,42.94738864767358,11213
liver_72.png,liver,22,44.63,30152,46.38602946978995,22760
one_70.png,one,29,11.23,15603,88.76873166683063,26506
hand_28.png,hand,17,33.28,9142,40.02789915638317,6333
dog_27.png,dog,8,45.96,28738,49.989418882132775,26930
blood_65.png,blood,2,55.27,21565,36.56033737724226,14525
water_53.png,water,43,83.8,75434,59.50732470283607,36939
person_18.png,person,32,2.22,3288,65.49215218754773,32823
star_55.png,star,37,70.59,31698,55.51764745930949,27257
we_88.png,we,44,5.35,5100,49.68761057290282,20382
bone_66.png,bone,4,34.29,16142,68.76809978283607,14345
grey_90.png,grey,16,3.15,790,10.415503062185476,12147
blood_98.png,blood,2,72.92,25235,68.75267067161468,20695
person_50.png,person,32,39.61,23879,59.25017783165999,17993
black_79.png,black,1,20.98,21386,60.85892539701049,14164
night_91.png,night,27,82.31,58994,69.67390509324204,27577
you_59.png,you,47,29.06,41456,37.6336491035468,24193
blue_92.png,blue,3,80.93,24186,35.80648124819421,21930
I_27.png,I,0,23.79,33054,62.80172351484031,24385
name_64.png,name,25,9.21,4805,50.64412945391659,18078
red_60.png,red,35,84.91,45695,56.19024144386528,22291
you_48.png,you,47,86.48,62759,48.72527707336864,22912
come_24.png,come,6,36.64,49235,72.33217281305245,26289
eye_62.png,eye,11,1.08,737,74.52009622877279,15380
leaf_95.png,leaf,21,90.55,30608,33.21846611474065,20831
I_75.png,I,0,18.85,17160,42.43306408365743,18329
star_75.png,star,37,35.83,24374,67.45503058284713,21033
white_64.png,white,45,7.08,2240,38.60828088811781,8714
full_52.png,full,14,52.85,67687,76.558187149189,32910
eye_40.png,eye,11,0.67,763,67.18634015752636,13607
orange_49.png,orange,30,74.5,24878,20.43096357503592,12842
liver_25.png,liver,22,54.71,29727,50.84320121788989,28609
hand_87.png,hand,17,38.88,18197,51.05626533700677,14947
brown_89.png,brown,5,14.23,3674,19.51302225284438,13985
new_92.png,new,26,38.63,41391,57.68213978169981,27002
hand_0.png,hand,17,28.18,24184,37.8846232137643,12614
we_35.png,we,44,3.81,1887,46.309870520123646,17869
two_69.png,two,42,42.75,52774,46.763330828964015,27502
mountain_25.png,mountain,24,13.98,3914,46.26722309359077,4795
ear_87.png,ear,10,47.71,37169,51.17902891087928,16750
dog_90.png,dog,8,35.57,33243,48.37061789695103,12071
fire_52.png,fire,12,33.36,53311,70.42874591200423,29784
hear_3.png,hear,18,8.43,6006,41.44362017851615,18169
horn_88.png,horn,19,39.57,33781,22.82647118289597,12102
orange_95.png,orange,30,105.13,66543,45.096811541914064,31898
red_67.png,red,35,99.25,31272,51.890811275156906,17062
liver_35.png,liver,22,69.09,37202,41.635688880786574,26766
dog_65.png,dog,8,26.52,26507,54.846825853916805,13585
horn_73.png,horn,19,47.47,50247,73.32784130341719,21404
brown_1.png,brown,5,19.46,10298,38.04067205855035,24077
sun_28.png,sun,39,55.14,42432,58.68875658590729,32456
night_38.png,night,27,22.1,18737,26.58441879661055,14215
blood_28.png,blood,2,86.78,45811,69.83933606695858,30237
path_50.png,path,31,32.27,43777,59.908280839814616,28753
tree_30.png,tree,41,53.76,58403,41.15041408483735,30908
grey_58.png,grey,16,1.93,473,7.177948276535384,11385
we_78.png,we,44,52.43,68070,71.76265656969937,32405
blood_56.png,blood,2,50.2,13504,31.39172184249445,15268
tree_82.png,tree,41,51.27,60684,72.65850458598162,36315
you_64.png,you,47,20.88,19561,46.3829381538322,14862
name_5.png,name,25,20.17,17953,69.66398782341288,23191
new_6.png,new,26,43.34,32433,71.68102104617526,21140
liver_31.png,liver,22,40.87,49896,71.36711463380347,18311
yellow_32.png,yellow,46,100.77,42491,79.70839477796243,41823
dog_21.png,dog,8,42.14,45657,55.79958889119764,29373
sun_85.png,sun,39,54.22,43399,59.747885689613625,28179
ear_70.png,ear,10,1.37,1213,71.70926550255243,20115
blue_57.png,blue,3,59.2,32872,33.127299517638896,15924
one_8.png,one,29,2.77,3243,58.95846436437632,30304
tooth_94.png,tooth,40,57.46,20845,64.2068774284421,12099
eye_45.png,eye,11,0.95,920,93.61659489615406,18505
star_22.png,star,37,55.62,19162,56.72333746471379,10521
see_20.png,see,36,30.34,56934,47.39704577713548,26605
see_81.png,see,36,10.04,21977,71.83440166927055,27285
horn_8.png,horn,19,42.62,17525,42.99618849395007,11322
horn_22.png,horn,19,42.96,24431,61.45919004774983,14109
pink_68.png,pink,33,56.33,44847,60.04403604047205,20316
purple_48.png,purple,34,60.77,32458,40.18618106025109,12064
white_82.png,white,45,26.41,21652,66.06127372046255,14949
full_41.png,full,14,45.23,61717,51.68418513609457,26502
ear_79.png,ear,10,35.09,34386,67.95468829780148,15665
die_73.png,die,7,22.96,18949,59.61535462181236,15997
green_35.png,green,15,45.95,55147,55.894537377916976,29572
liver_1.png,liver,22,74.9,55402,51.53681998562763,26583
dog_97.png,dog,8,1.17,1161,47.77613795175435,16411
red_89.png,red,35,49.0,53660,54.7267996050776,29339
person_76.png,person,32,1.0,1497,42.99510030791623,17003
tree_8.png,tree,41,32.1,47362,73.28360980029892,27984
tooth_19.png,tooth,40,41.1,33659,52.17261298362164,13168
